id,section,difficulty,question_no,type,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,answer,source_answer,validation_note,validation_source,source_file
S002Q01,2,easy,1,TC1,"Among the Meakambut people of Papua New Guinea, legends are associated with specific caves in the Sepik region, and these legends are _____: only the cave owner can share its secrets.",impenetrable,immutable,proprietary,didactic,self-perpetuating,,,,,C,C,,,TCSE_1-50.pdf
S002Q02,2,easy,2,TC1,"We often regard natural phenomena like rainfall as mysterious and unpredictable; although for short time spans and particular places they appear so, in fact on a truly global scale, nature has been a model of _____.",reliability,diversity,complexity,plasticity,discontinuity,,,,,A,A,,,TCSE_1-50.pdf
S002Q03,2,easy,3,TC2,The economic recovery was somewhat lopsided: (i)_____ in some of the industrial economies while (ii)_____ in others of them.,unexpected,feeble,swift,robust,turbulent,predictable,,,,B|D,B|D,,,TCSE_1-50.pdf
S002Q04,2,easy,4,TC2,"Although trains may use energy more (i)_____ than do automobiles, the latter move only when they contain at least one occupant, whereas railway carriages spend a considerable amount of time running up and down the tracks (ii)_____, or nearly so.",lavishly,efficiently,routinely,vacant,unimpeded,overlooked,,,,B|D,B|D,,,TCSE_1-50.pdf
S002Q05,2,easy,5,TC3,Most capuchin monkey conflict involves such a (i)_____ repertoire of gestural and vocal signals that it is difficult for researchers to tease apart the meanings of the individual signals. This (ii)_____ is (iii)_____ by the fact that many signals seem to shift in meaning according to the context in which they are produced and the developmental stage of the individuals producing them.,precise,rich,straightforward,problem,opportunity,oversight,augmented,ameliorated,anticipated,B|D|G,B|D|G,,,TCSE_1-50.pdf
S002Q06,2,easy,6,TC3,"Within the culture as a whole, the natural sciences have been so successful that the word “scientific” is often used in (i)_____ manner: it is often assumed that to call something “scientific” is to imply that its reliability has been (ii)_____ by methods whose results cannot reasonably be (iii)_____.",an ironic,a literal,an honorific,maligned,challenged,established,exaggerated,anticipated,disputed,C|F|I,C|F|I,,,TCSE_1-50.pdf
S002Q07,2,easy,7,SE,"Members of the union’s negotiating team insisted on several changes to the company’s proposal before they would support it, making it clear that they would _____ no compromise.",disclose,reject,brook,tolerate,repudiate,weigh,,,,C|D,C|D,,,TCSE_1-50.pdf
S002Q08,2,easy,8,SE,"Wilson is wont to emphasize the _____ of ants: how ants with full stomachs will regurgitate liquid food for those without, or how the old will fight so the young can survive.",beneficence,altruism,unpredictability,intelligence,fecundity,fertility,,,,A|B,A|B,,,TCSE_1-50.pdf
S002Q09,2,easy,9,SE,"During the Renaissance, the use of optical lenses, which were capable of projecting images onto blank canvases, greatly aided artists by allowing them to accurately observe and depict the external world; in other words, these lenses were instrumental in conveying _____.",idealism,optimism,ambition,realism,sanguinity,verisimilitude,,,,D|F,D|F,,,TCSE_1-50.pdf
S002Q10,2,easy,10,SE,"The professor’s habitual air of _____ was misleading front, concealing amazing reserves of patience and a deep commitment to his students’ learning.",cordiality,irascibility,disorganization,conviviality,diffidence,exasperation,,,,B|F,B|F,,,TCSE_1-50.pdf
S003Q01,3,easy,1,TC1,"Though we live in an era of stunning scientific achievement, many otherwise educated people remain indifferent to or contemptuous of such achievement, even going so far as to _____ their ignorance of basic physics.",decry,condone,remedy,boast of,downplay,,,,,D,D,,,TCSE_1-50.pdf
S003Q02,3,easy,2,TC1,Slight but _____ variation in the timing of the star’s pulses led astronomers to deduce that it was being pulled backwards and forwards by three planets orbiting around it.,subtle,regular,undetectable,inconsequential,explicable,,,,,B,B,,,TCSE_1-50.pdf
S003Q03,3,easy,3,TC2,"The great (i)_____ of most books that examine the American presidency is their ideological bias, but for most part, this volume on the presidency maintains an impressive degree of (ii)_____.",contribution,limitation,paradox,certainty,fluency,objectivity,,,,B|F,B|F,,,TCSE_1-50.pdf
S003Q04,3,easy,4,TC2,"Many of the towns that have voted to keep incinerators in the county’s solid waste plan have done so not because they necessarily (i)_____ incinerators, but because they are (ii)_____ to narrow their waste-disposal options.",question,favor,oppose,willing,eager,loath,,,,B|F,B|F,,,TCSE_1-50.pdf
S003Q05,3,easy,5,TC3,"Just because, as a photographer, Friedlander (i)_____ places that most people consider ugly does not mean that he is out to prove they are beautiful. Instead, his work suggests that the photographer simply cannot ignore so much of the built American landscape but is obligated to (ii)_____ what we pass through day in and day out, regardless of (iii)_____.",tends to avoid,is harshly critical of,is interested in,document,emulate,discredit,authenticity,truthfulness,aesthetics,C|D|I,C|D|I,,,TCSE_1-50.pdf
S003Q06,3,easy,6,TC3,Both very good and very bad books are easy to review. Praise and (i)_____ come easily. But what of books that contain a muddle of virtues and vices? Here the reviewer’s task is more (ii)_____: the author’s useful and thought-provoking observations need to be (iii)_____ the useless and tedious.,ambivalence,compliment,censure,evident,demanding,manageable,supplanted by,sifted from,overshadowed by,C|E|H,C|E|H,,,TCSE_1-50.pdf
S003Q07,3,easy,7,SE,"In matters of taste, the art patron and collector Peggy Guggenheim was _____, she was for the strangest, the most surprising, the most satisfying, the best, the unique.",a neophyte,a novice,a realist,an extremist,a pragmatist,a zealot,,,,D|F,D|F,,,TCSE_1-50.pdf
S003Q08,3,easy,8,SE,"The laboratory maze has grown ever less _____ since it was first invented instead of hoping to lose a rodent in a labyrinth; today’s scientists design mazes to elicit a few simple, easily measured behaviors.",intricate,extensive,effective,convoluted,useful,prevalent,,,,A|D,A|D,,,TCSE_1-50.pdf
S003Q09,3,easy,9,SE,"In mathematics, judgments about the validity of proofs are mediated by peer-reviewed journals; to ensure _____, reviewers are carefully chosen by journal editors, and the identity of scholars whose papers are under consideration are kept secret.",timelessness,originality,fairness,comprehensiveness,objectivity,novelty,,,,C|E,C|E,,,TCSE_1-50.pdf
S003Q10,3,easy,10,SE,"Since some contemporary Western dieticians believe that the only function of food is to provide nourishment, these dieticians view an emphasis on the aesthetic dimension of the culinary arts as _____.",unprecedented,unwarranted,illuminating,groundless,promising,novel,,,,B|D,B|D,,,TCSE_1-50.pdf
S004Q01,4,easy,1,TC1,"In the last two hundreds years, the practice of archaeology has changed greatly, from digging up ancient artifacts for use by wealthy individuals as art objects to analyzing the detritus of everyday life in the laboratory, and thus from _____ to data collection.",supposition,theorizing,fact-finding,treasure hunting,scientific discovery,,,,,D,D,,,TCSE_1-50.pdf
S004Q02,4,easy,2,TC1,"History teaches us that science is not _____ enterprise; indeed, it is quite the opposite, a motley assortment of tools designed to safeguard researchers against their own biases.",an opportunistic,an anomalous,a haphazard,a collective,a monolithic,,,,,E,E,,,TCSE_1-50.pdf
S004Q03,4,easy,3,TC2,"What they see in Tanaka is the one candidate capable of (i)_____ leadership, in direct contrast to Williamson , whose term in office has been marred by (ii)_____.",compassionate,decisive,nepotistic,grandstanding,partisanship,vacillation,,,,B|F,B|F,,,TCSE_1-50.pdf
S004Q04,4,easy,4,TC2,"Despite having only recently learned to walk, toddlers make the most (i)_____ dance students. Their joy in movement is so pure, so complete, and so (ii)_____.",skilled,inattentive,delightful,futile,irrelevant,contagious,,,,C|F,C|F,,,TCSE_1-50.pdf
S004Q05,4,easy,5,TC2,"Readers may initially be irked by the book’s apparent (i)_____ but, once immersed in the author’s prose, they may come to regard the work’s (ii)_____ as an asset.",flippancy,aimlessness,tendentiousness,subtlety,discursions,exhaustiveness,,,,B|E,B|E,,,TCSE_1-50.pdf
S004Q06,4,easy,6,TC3,"Unambiguous texts can allow their readers to (i)_____ them quickly, but ambiguous texts can have the attractive (ii)_____ of multiple possible interpretations, all of which can be considered equally (iii)_____, and none of which is the single true meaning.",misunderstand,comprehend,complicate,stigma,blemish,allure,valid,frank,inveterate,B|F|G,B|F|G,,,TCSE_1-50.pdf
S004Q07,4,easy,7,SE,"Harper Lee’s narration in To Kill a Mockingbird is _____, mixing an adult’s and a child’s perspective according to no logic other than the immediate exigencies of the plot.",a paradigm,a hodgepodge,a model,an innovation,a patchwork,an embarrassment,,,,B|E,B|E,,,TCSE_1-50.pdf
S004Q08,4,easy,8,SE,"The employee had a reputation for fractiousness, but his coworkers found him to be, on the contrary, quiet _____.",insightful,affable,sagacious,capable,easygoing,productive,,,,B|E,B|E,,,TCSE_1-50.pdf
S004Q09,4,easy,9,SE,"Even though women in the US would not gain the rights to vote until 1920, throughout the nineteenth century many feminist goals were gradually _____, especially the rights of married women to control their own property.",realized,abandoned,eroded,modified,revised,achieved,,,,A|F,A|F,,,TCSE_1-50.pdf
S004Q10,4,easy,10,SE,"Edited collections of scholarly essays generally tend to be somewhat uneven: they suffer from the _____ subject matter of the various essays, the lack of an overarching and consistent thesis, and the variable quantity of the contributions.",intriguing,heterogeneous,comprehensive,disparate,mediocre,engaging,,,,B|D,B|D,,,TCSE_1-50.pdf
S005Q01,5,easy,1,TC1,"The Labrador duck is one of the most _____ extinct birds: although there are a fair number of specimens, few have yielded reliable data and little is known about the species’ breeding patterns.",anomalous,controversial,enigmatic,misrepresented,cherished,,,,,C,C,,,TCSE_1-50.pdf
S005Q02,5,easy,2,TC2,"The research found that in assessing others, many people hold an unconscious view that competence and warmth are (i)_____: when they perceive a person to be highly capable, they infer that he or she must have a tendency to be (ii)_____.",equally important,mutually reinforcing,inversely related,ambitious,unfeeling,disingenuous,,,,C|E,C|E,,,TCSE_1-50.pdf
S005Q03,5,easy,3,TC2,"Mr. Stevens found that home schooling, far from representing (i)_____ philosophy, (ii)_____ some of the most widely accepted education ideas: that children should be treated as individuals, taught in small numbers, and given a measure of discretion over their own learning.",a benign,an orthodox,an anomalous,overcomes,embodies,anticipates,,,,C|E,C|E,,,TCSE_1-50.pdf
S005Q04,5,easy,4,TC2,"He was never (i)_____; he was nothing if not (ii)_____, so he forbore for the present to declare his passion.",chivalrous,impetuous,thoughtful,boorish,circumspect,spontaneous,,,,B|E,B|E,,,TCSE_1-50.pdf
S005Q05,5,easy,5,TC3,"Computers make it spectacularly easy to search for particular pieces of information in downloaded texts. And doing research in this strategic, targeted manner can feel (i)_____. Instead of (ii)_____ the organizing logic of the book you are reading, you can approach the book with your own questions and (iii)_____. You, not the author, are the master.",disorienting,humbling,empowering,disregarding,surrendering to,imitating,begin to discern the author’s intent,glean precisely what you want from it,evaluate the book on its own terms,C|E|H,C|E|H,,,TCSE_1-50.pdf
S005Q06,5,easy,6,TC3,"Given our species’ increasing numbers and appetites—which are reflected in and compounded by global climate change—even (i)_____ species are likely to become endangered within the foreseeable future. If we are to avoid a calamitous loss of biodiversity, according to Golbe, we cannot simply let nature take its course. Ongoing conservation management is (ii)_____, as we have, in a sense, become nature, and the responsibilities that come with the role cannot be (iii)_____.",exotic,vulnerable,now common,ineffective,obligatory,promising,jettisoned,assumed,contrived,C|E|G,C|E|G,,,TCSE_1-50.pdf
S005Q07,5,easy,7,SE,Miller reminded his clients that labor relationship are inherently _____: the interests of business owners are diametrically opposed to those of employees.,adversarial,exploitative,mercenary,antagonistic,variable,changeable,,,,A|D,A|D,,,TCSE_1-50.pdf
S005Q08,5,easy,8,SE,"Progressive and reactionary populist movements are not necessarily _____; each may, and usually does, possess features of the other.",dichotomous,untenable,unsustainable,contradictory,subversive,efficacious,,,,A|D,A|D,,,TCSE_1-50.pdf
S005Q09,5,easy,9,SE,"Although one can adduce myriad of examples of ecosystem disruption by nonindigenous species, nevertheless most introduced species that survive in fact appear to have quite _____ effects on the ecosystem they have invaded.",minimal,trifling,marked,conspicuous,intriguing,deleterious,,,,A|B,A|B,,,TCSE_1-50.pdf
S005Q10,5,easy,10,SE,"Although field studies have linked inbreeding to declines among song sparrow populations, some researchers argue that, in nature, inbreeding proves _____ as a factor when compared with crushing blows from weather changes.",hazardous,momentous,trivial,significant,precarious,inconsequential,,,,C|F,C|F,,,TCSE_1-50.pdf
S006Q01,6,easy,1,TC1,One view of historicism holds that systems of belief prevalent during different periods in history are _____ and therefore cannot be understood except in their own term.,discriminatory,incommensurable,anachronistic,cosmopolitan,objective,,,,,B,B,,,TCSE_1-50.pdf
S006Q02,6,easy,2,TC1,The company suffers from an almost total lack of _____: even the most innocuous communications between departments lend to devolve into acrimony.,dissension,variance,comity,conformity,mordancy,,,,,C,C,,,TCSE_1-50.pdf
S006Q03,6,easy,3,TC2,"One way to predict the effects of global climate change on an ecosystem is to extrapolate current trend in global change factors into the future. A (i)_____ of this method is that its predictions (ii)_____ actual observation, but the method also makes the questionable assumption that the future will resemble the present.",virtue,drawback,peculiarity,dispense with,derive from,improve upon,,,,A|E,A|E,,,TCSE_1-50.pdf
S006Q04,6,easy,4,TC2,"So (i)_____ is the reputation of the city’s police force for (ii)_____ that whenever a new police chief take office, he or she routinely promises to clean up the force.",persistent,recent,discouraging,corruption,efficiency,inexperience,,,,A|D,A|D,,,TCSE_1-50.pdf
S006Q05,6,easy,5,TC2,"Scientists said that cosmology was the field where the ratio of theory to data was (i)_____: there was an abundance of theories, but almost no data. Recently, however, that ratio has flipped. A huge and ever-increasing amount of data has (ii)_____ all theories but one.",completely unknown,nearly infinite,always variable,eliminated,supported,clarified,,,,B|D,B|D,,,TCSE_1-50.pdf
S006Q06,6,easy,6,TC3,"Many fairy tales are complex narratives of wish fulfillment. They teach the reader that a struggle against severe difficulties in life is (i)_____, that it is an intrinsic part of human existence, and that if one does not (ii)_____, but steadfastly meets unexpected and often unjust hardships, one masters all obstacles and at the end (iii)_____.",atypical,unavoidable,insurmountable,preserve,improvise,shy away,elicits adversities,emerges victorious,evades achievements,B|F|H,B|F|H,,,TCSE_1-50.pdf
S006Q07,6,easy,7,SE,"Since it was committed to the idea of science as an international, politically neutral enterprise, the Royal Society of London refused to _____ members from enemy nations during world wars of the twentieth century.",betray,expel,endorse,oust,sanction,condemn,,,,B|D,B|D,,,TCSE_1-50.pdf
S006Q08,6,easy,8,SE,Coagulation factors are useful proteins whose simple names—many are known only by Roman numerals—_____ their importance and the specificity of their roles in the thinning and clotting of blood.,nullify,obviate,mitigate,belie,mask,accentuate,,,,D|E,D|E,,,TCSE_1-50.pdf
S006Q09,6,easy,9,SE,"Despite her rather _____ choices, Moreland was neither a rebellious spirit nor someone who saw herself as anything out of the ordinary.",unconventional,impractical,quirky,flamboyant,successful,lucrative,,,,A|C,A|C,,,TCSE_1-50.pdf
S006Q10,6,easy,10,SE,"Despite their cultural and social significance, rapid growth, and widespread appear in China, video games—unlike traditional media—have received _____ attention from international communication researches.",undue,scant,excessive,focused,limited,dwindling,,,,B|E,B|E,,,TCSE_1-50.pdf
S007Q01,7,easy,1,TC1,"The artist’s career was remarkable partly because it was so _____: she died, with only a few paintings to her credit, while still in her twenties.",felicitous,prolific,enduring,conventional,abbreviated,,,,,E,E,,,TCSE_1-50.pdf
S007Q02,7,easy,2,TC1,"The province has long claimed to be just another developing region, even as its economy _____ those of other regions and threatens to eclipse the rest of the country combined.",parallels,bolsters,corroborates,outstrips,engages,,,,,D,D,,,TCSE_1-50.pdf
S007Q03,7,easy,3,TC2,"Scholars have marveled over the (i)_____ that Shakespeare displays in his works, noting that such broad learning is all the more remarkable given that books were relatively (ii)_____ in Shakespeare’s time.",meticulousness,humor,erudition,edifying,scarce,inexpensive,,,,C|E,C|E,,,TCSE_1-50.pdf
S007Q04,7,easy,4,TC2,"She was never (i)_____; she was nothing if not discreet, so she (ii)_____ for the present to declare her passion.",precipitate,tactful,thoughtful,pretended,decided,forbore,,,,A|F,A|F,,,TCSE_1-50.pdf
S007Q05,7,easy,5,TC2,"Except for a few passages in the biography in which the subject’s flaws are (i)_____, the author’s treatment of her subject is (ii)_____.",too harshly judged,analyzed in depth,frankly acknowledged,erudite,judicious,acrimonious,,,,A|E,A|E,,,TCSE_1-50.pdf
S007Q06,7,easy,6,TC3,"The writer argues that jewelry-grade diamonds, because they are both (i)_____ and (ii)_____, prove one of two conclusions; their purchasers have so much money they can spend it on goods that (iii)_____, or their purchasers are so committed to making others think they have such wealth that they are willing to go into debt to do so.",flawless,fungible,expensive,durable,useless,irreplaceable,may appreciate in value,reflect the buyers’ connoisseurship,serve no practical purpose,C|E|I,C|E|I,,,TCSE_1-50.pdf
S007Q07,7,easy,7,SE,"In Ramachandran’s opinion, it is perfectly acceptable to propose bold speculations about the brain, even if these speculations seem _____; as Ramachandran frequently remarks, science thrives on risky conjecture.",unfounded,premature,controversial,verifiable,testable,baseless,,,,A|F,A|F,,,TCSE_1-50.pdf
S007Q08,7,easy,8,SE,"The concert hall’s suspended ceiling is two-inch-thick plaster that reflects low-frequency sound energy; similarly, all wall surfaces are angled and shaped to _____ sound from the stage throughout the audience area.",diffuse,amplify,spread,dampen,eclipse,deaden,,,,A|C,A|C,,,TCSE_1-50.pdf
S007Q09,7,easy,9,SE,Any notion of justice in the fortunes of artists is _____: works of equal value and quality produce quite different returns or no returns at all.,baseless,cliché,untenable,insulting,condescending,idealistic,,,,A|C,A|C,,,TCSE_1-50.pdf
S007Q10,7,easy,10,SE,"Agencies responsible for protecting natural resources too often issue permits allowing exploitation of those resources, a process that remains _____ given that agencies have become experts at masking their decisions in the scientific terms.",controversial,exacting,obscure,onerous,opaque,misleading,,,,C|E,C|E,,,TCSE_1-50.pdf
S008Q01,8,easy,1,TC1,"Parker’s model of human reflects a _____ outlook, in stark contrast to the generally pessimistic analyses of her colleagues in the economics department.",prescient,circumspect,technical,magisterial,sanguine,,,,,E,E,,,TCSE_1-50.pdf
S008Q02,8,easy,2,TC2,The history of the region’s natural resources has been one of initial (i)_____ followed by (ii)_____; as such the region has over time gone from a resource-rich to a resource-dependent economy.,disappointment,abundance,conservation,growing interdependence,draconian regulation,rapacious depletion,,,,B|F,B|F,,,TCSE_1-50.pdf
S008Q03,8,easy,3,TC2,"Any account of experimental music in the United States that (i)_____ the predominantly African American bebop and free jazz movements is (ii)_____, since this body of music constitutes what is arguably the most influential African experimental music in the decades following the Second War War.",neglects,exaggerates,reinterprets,underappreciated,problematic,self-serving,,,,A|E,A|E,,,TCSE_1-50.pdf
S008Q04,8,easy,4,TC2,"Despite the abundance and importance of maize, its biological origin has been a long-running mystery. The bright yellow, mouth-watering treat does not grow in the wild anywhere on the planet, so its (i)_____ is not at all (ii)_____.",utility,popularity,ancestry,helpful,important,obvious,,,,C|F,C|F,,,TCSE_1-50.pdf
S008Q05,8,easy,5,TC3,"In medieval Europe, watermills were more (i)_____ than windmills. It is true that windmills could be built virtually anywhere, whereas watermills (ii)_____. However, watermills’ greater capacity and reliability provided a better (iii)_____ the money required to build the mill.",problematic,profitable,versatile,were suitable only for,inspired a variety of new,required a good deal of,source of certain locations,adjunct to technologies,return on upkeep,B|D|I,B|D|I,,,TCSE_1-50.pdf
S008Q06,8,easy,6,TC3,"When the Agriculture Department (i)_____ its dietary guidelines, it laid down a challenge: Eat better, smarter, and healthier or else. The “or else” included a long list of (ii)_____ that (iii)_____ the developed world, from heart disease and osteoporosis to diabetes.",make public,debunked,refused to consider,intangibles,misconceptions,maladies,assuage,plague,ignore,A|F|H,A|F|H,,,TCSE_1-50.pdf
S008Q07,8,easy,7,SE,"Although legislators on both sides of issues have repeatedly _____ a desire to find a middle ground, until now no acceptable compromise has been achieved.",discussed,proclaimed,professed,rejected,disowned,betrayed,,,,B|C,B|C,,,TCSE_1-50.pdf
S008Q08,8,easy,8,SE,The company is so old-fashioned and opposed to innovation that it can seem downright _____.,antediluvian,flighty,archaic,chauvinistic,capricious,patronizing,,,,A|C,A|C,,,TCSE_1-50.pdf
S008Q09,8,easy,9,SE,"Estimating demographic parameters in marine mammals is challenging, often requiring many years of data to achieve sufficient precision to _____ biologically meaningful change.",effect,tolerate,discern,envisage,withstand,detect,,,,C|F,C|F,,,TCSE_1-50.pdf
S008Q10,8,easy,10,SE,Scientists should hope the faults in their theories will be _____ their peers since the refutation of one hypothesis can free its originator to develop a better one.,discerned by,disregarded by,discovered by,ignored by,opaque to,inspiring to,,,,A|C,A|C,,,TCSE_1-50.pdf
S009Q01,9,easy,1,TC1,He was so ____ during the filming of the movie that crew members nicknamed his “The Angriest Man in the World”,loquacious,irascible,perfidious,sanguine,voracious,,,,,B,B,,,TCSE_1-50.pdf
S009Q02,9,easy,2,TC1,The film was a _____: its elements were assembled more or less haphazardly from a dozen of different sources.,burlesque,satire,pastiche,chronicle,parody,,,,,C,C,,,TCSE_1-50.pdf
S009Q03,9,easy,3,TC2,"The description of Green’s scholarship as (i)_____ is grossly misleading: while her research on interstellar particles is not especially novel, the conclusions she draws from her data are (ii)_____.",esoteric,tendentious,derivative,remarkably pioneering,dubiously supported,strangely comforting,,,,C|D,C|D,,,TCSE_1-50.pdf
S009Q04,9,easy,4,TC2,People frequently attempt to relieve their workplace frustrations via surreptitious comments around the water cooler but would be better able to resolve their resentment if they were less (i)_____ about their problem and imitated a more (ii)_____ dialogue.,vexatious,clandestine,opportunistic,equitable,sincere,open,,,,B|F,B|F,,,TCSE_1-50.pdf
S009Q05,9,easy,5,TC2,It would be (i)_____ not to (ii)_____ these tabloid journalists for thriving in hard times: they deserve credit for doing well in a profession in financial straits.,apropos,churlish,cagey,admire,envy,emulate,,,,B|D,B|D,Source repeats a blank ordinal; normalized markers to sequential order.,,TCSE_1-50.pdf
S009Q06,9,easy,6,TC3,"The historian’s narrative of the dynasty’s decline is (i)_____, because though there is nothing (ii)_____ the account, largely parts of it rely on (iii)_____.",diffuse,reasonable,questionable,psychologically penetrating,inherently implausible about,fully documented in,plagiarism in,conjecture,pretense,C|E|H,C|E|H,,,TCSE_1-50.pdf
S009Q07,9,easy,7,SE,"Though Edmurd certainly had a dignified bearing and made a great first impression, those who became acquainted with him soon realized he had an essentially _____ nature.",pugnacious,deliberate,punctilious,courteous,complacent,truculent,,,,A|F,A|F,,,TCSE_1-50.pdf
S009Q08,9,easy,8,SE,"The life of a secret agent is dangerous enough, but the life of a double agent is infinitely more _____: a single slip can send an agent crashing to destruction.",arduous,precarious,clandestine,perilous,covert,exhilarating,,,,B|D,B|D,,,TCSE_1-50.pdf
S009Q09,9,easy,9,SE,"Natural causes nerves to die off and muscles to weaken, but regular exercise of muscle fibers enlarges and can _____ the decline by increasing the strengthen muscle you have left.",speed up,stave off,forestall,facilitate,assist,exploit,,,,B|C,B|C,,,TCSE_1-50.pdf
S009Q10,9,easy,10,SE,"Creativity is no longer seen as _____ inspiration leading to poem or painting, it has come to be thought of as something permeating the whole of a person’s life.",a mundane,a momentary,an illusory,an evanescent,a metaphoric,a prosaic,,,,B|D,B|D,,,TCSE_1-50.pdf
S010Q01,10,easy,1,TC1,"Nylenna’s study showed that errors in scientific manuscripts submitted for publication often escape reviewers’ notice, results that were not _____: when Godlee conducted a study of the same phenomenon, her findings were similar.",credible,unwelcome,anomalous,quantifiable,consequential,,,,,C,C,,,TCSE_1-50.pdf
S010Q02,10,easy,2,TC1,"Among the Meakambut people of Papua New Guinea, legends are associated with specific caves in the Sepik region, and these legends are _____: only the cave owner can share its secrets.",impenetrable,immutable,proprietary,didactic,self-perpetuating,,,,,C,C,,,TCSE_1-50.pdf
S010Q03,10,easy,3,TC2,"It would be imprecise to characterize her scholarship as (i)_____: though her etymological discussion is necessarily esoteric, there is nothing (ii)_____ about the conclusions she derives from it.",derivative,arcane,careless,obscure,controversial,innovative,,,,B|D,B|D,,,TCSE_1-50.pdf
S010Q04,10,easy,4,TC2,"While acknowledging behaviors the Prime Minster took in order to remain in office were (i)_____, some politicians nevertheless believed this small amount of (ii)_____ was justified to keep reforming government in office.",unethical,impractical,quixotic,skullduggery,indolence,incivility,,,,A|D,A|D,,,TCSE_1-50.pdf
S010Q05,10,easy,5,TC2,"Attending with equal (i)_____ to any question that presents itself, the sociologist’s work has strengths and weaknesses that flow from this energetically (ii)_____ approach.",skepticism,lethargy,fervor,hybrid,indiscriminate,conciliatory,,,,C|E,C|E,,,TCSE_1-50.pdf
S010Q06,10,easy,6,TC3,"Galaxy Zoo set a standard for citizen-scientist participation project. Zealous volunteers (i)_____ the project’s organizers by classifying an entire catalog of galaxies years ahead of schedule. (ii)_____ by the (iii)_____ of the volunteers, Galaxy Zoo team was inspired to pursue lines of research they had never even imagined.",beguiled,forestalled,astonished,baffled,buoyed,embarrassed,insouciance,stoicism,alacrity,C|E|I,C|E|I,,,TCSE_1-50.pdf
S010Q07,10,easy,7,SE,"In establishing that the dust she had observed constitutes two percent of the mass in the quadrant, the astronomer showed that the dust’s extreme visual prominence _____ its relatively minor contribution to the total mass of the region.",belies,masks,highlights,nullifies,disproves,accentuates,,,,A|B,A|B,,,TCSE_1-50.pdf
S010Q08,10,easy,8,SE,"Writing about advances in climate science is often problematic, in part because the material is so _____: climate science is the study of shifting, interrelated, and sometimes paradoxical patterns.",disheartening,pedestrian,complicated,depressing,knotty,mundane,,,,C|E,C|E,,,TCSE_1-50.pdf
S010Q09,10,easy,9,SE,"There are many insights in the essay collected in Observations on modernity, but they are embedded in a dense English translation of a dense German original that may make many of them _____ to most readers.",vapid,inaccessible,sagacious,banal,distressing,opaque,,,,B|F,B|F,,,TCSE_1-50.pdf
